Beschaffungsanbahnung: Was ist eine Bedarfsmeldung und warum ist sie wichtig?|Eine Bedarfsmeldung ist eine Mitteilung des Unternehmens über den jeweiligen Bedarf. Sie ist wichtig, damit der Einkaufssachbearbeiter rechtzeitig und vollständig informiert ist und entsprechend handeln kann.
Beschaffungsanbahnung: Welche Hilfsmittel können für die Bedarfsmeldung verwendet werden?|Es können Bedarfsmeldeformulare für einmaligen oder sporadischen Bedarf oder Bestellvorschläge für EDV-orientierte Materialdisposition genutzt werden.
Lieferantenbeurteilung: Wie läuft der erste Schritt einer Beurteilung ab?|Der erste Schritt einer Beurteilung ist in der Regel das Ausfüllen eines Fragebogens durch den Lieferanten. Die Fragen decken verschiedene Themenbereiche ab.
Was ist eine Erstmusterprüfung?|Eine Erstmusterprüfung ist eine Prüfung einer Einheit, die mit den für die Serienfertigung vorgesehenen Fertigungsanlagen und Verfahren hergestellt wird. Sie dient dazu, die Qualität und Eignung des Materials zu überprüfen.
Was sind die Ziele der Lieferantenbeurteilung in einer bestehenden Kunden-Lieferanten-Beziehung?|"Das Ziel ist es, die Zusammenarbeit zu intensivieren, zu verbessern und langfristig auszubauen. Im besten Fall trägt der Lieferant auch zum kontinuierlichen Verbesserungsprozess (KVP) bzw. ""Total Quality Management"" (TQM) bei."
Beschaffungsanbahnung: Wie werden Angebote eingeholt?|Angebote werden in der Regel durch eine rechtlich unverbindliche Anfrage eingeholt. Dies kann geschehen, um zusätzliche Informationen zu sammeln, die bestehenden Einkaufsunterlagen zu überprüfen oder zu ergänzen oder um den günstigsten Lieferanten bei vorhandener Bedarfsmeldung zu ermitteln.
Beschaffungsanbahnung: Welche Bezugsquellenverzeichnisse sollte ein Einkaufssachbearbeiter haben?|Der Einkaufssachbearbeiter sollte über Adressbücher, eine Lieferantenkartei, eine Artikelbzw. Warenkartei, das Internet und Recherchen verfügen.
Beschaffungsanbahnung: Wann sollte der Einkaufssachbearbeiter eine Vorauswahl treffen?|Der Einkaufssachbearbeiter sollte eine Vorauswahl treffen, wenn aus Kostengründen nicht alle möglichen Bezugsquellen angefragt werden können. Diese Auswahl hängt davon ab, ob es sich um einen erstbzw. einmaligen oder um einen wiederkehrenden Bedarf handelt und wie hoch der Bedarfswert ist.
Angebotsbearbeitung: Was sind Angebote grundsätzlich?|Angebote sind rechtlich bindende Willenserklärungen des Lieferanten.
Angebotsbearbeitung: Wann verlieren Angebote ihre Rechtsverbindlichkeit?|Wenn sie explizit für unverbindlich erklärt worden sind.
Angebotsbearbeitung: Wie lange sind mündlich abgegebene Angebote gültig?|Nur so lange, wie das Gespräch (unter vier Augen oder per Telefon) dauert.
Angebotsbearbeitung: Wie lange sind schriftlich abgegebene Angebote gültig?|So lange, wie es im Allgemeinen dauert, um unter normalen Bedingungen schriftlich reagieren zu können (z. B. in Deutschland 8 – 10 Tage).
Angebotsbearbeitung: Was sind Angebote mit einer ausdrücklich angegebenen Bindungsfrist?|"Angebote, die eine ausdrücklich längere oder kürzere Bindungsfrist haben (z. B. ""Wir bieten für das nächste Quartal an."" oder ""Wir bieten noch diese Woche an."")."
Angebotsprüfung: Welche Kriterien werden in einer formellen Angebotsprüfung berücksichtigt?|Qualität, Menge, Lieferzeit, Preise, und die Verkaufskonditionen.
Angebotsprüfung: Welche Faktoren werden in einer materiellen Angebotsprüfung berücksichtigt?|Preis, Qualität, Lieferzeit, Serviceleistungen und Standort des Lieferers.
Angebotsvergleich: Wie werden die eingegangenen Angebote miteinander verglichen?|Alle Angebote werden auf eine einheitliche Preisbasis umgerechnet und unter Berücksichtigung aller relevanten Faktoren miteinander verglichen.
"Angebotsvergleich: Was passiert, wenn ""nichtpreisliche"" Faktoren gegen den preisgünstigsten Anbieter sprechen?"|"Man wird unter ökonomischen Gesichtspunkten dem einstandspreisgünstigsten Anbieter den Zuschlag erteilen, sofern keine ""nichtpreislichen"" Faktoren dagegen sprechen."
Beschaffungsvorgang: Was löst den Beschaffungsvorgang im Allgemeinen aus?|Eine Bedarfsmeldung.
Beschaffungsvorgang: Wie holt der Einkaufssachbearbeiter Angebote ein?|Angebote werden im Allgemeinen durch rechtlich unverbindliche Anfragen eingeholt.
Beschaffungsvorgang: Was versteht man unter „formeller“, was unter „materieller“ Angebotsprüfung?|Die formelle Angebotsprüfung vergleicht die Angebotsinhalte mit den Vorgaben der Anfrage (z. B. Qualität, Menge, Preis, Lieferzeit, Verkaufskonditionen usw.), die materielle Prüfung analysiert den Angebotsinhalt hinsichtlich der für die Liefererwahl mitentscheidenden Faktoren auf einer einheitlichen Basis (Kalkulationsschema).
Beschaffungsvorgang: Wie wird heute vorzugsweise ein Angebotsvergleich vorgenommen?|Angebotsvergleiche werden sinnvollerweise per EDV mithilfe von T bellenkalkulationsprogrammen durchgeführt, da hier selbstrechnende Tableaus erstellt werden können, die verschiedene Werteingaben unmittelbar zu den rechnerisch korrekten Endergebnissen führen.
